zero,one,two,three,four,five,six,seven,eight,nine, 
205,2,3,5,4,0,3,1,5,1,zero
1,264,1,3,0,0,4,3,1,2,one
4,0,231,7,1,1,1,0,1,0,two
5,2,5,224,0,2,1,2,2,1,three
1,1,0,0,266,1,0,0,1,0,four
1,0,1,11,1,229,0,0,0,0,five
2,3,0,0,1,0,243,0,0,2,six
4,4,0,3,0,3,0,216,4,0,seven
1,2,0,3,4,4,0,1,230,4,eight
3,1,0,0,0,0,1,0,1,249,nine
