zero,one,two,three,four,five,six,seven,eight,nine, 
205,2,3,4,5,0,3,1,5,1,zero
0,264,1,3,0,0,4,4,1,2,one
4,0,232,6,1,1,1,0,1,0,two
5,1,6,224,0,2,1,2,2,1,three
1,1,0,0,266,1,0,0,1,0,four
1,0,1,11,1,229,0,0,0,0,five
2,2,0,0,1,0,245,0,0,1,six
3,6,0,3,0,2,0,215,5,0,seven
1,2,0,2,4,4,0,1,232,3,eight
3,1,0,0,0,0,1,0,0,250,nine
