zero,one,two,three,four,five,six,seven,eight,nine, 
207,1,4,4,5,0,1,2,4,1,zero
2,260,0,2,2,0,3,8,1,1,one
4,1,225,9,1,2,3,0,1,0,two
5,0,7,222,0,2,2,2,2,2,three
2,0,0,0,266,1,0,0,1,0,four
1,0,2,10,2,228,0,0,0,0,five
3,4,0,0,0,0,242,0,0,2,six
4,4,0,4,1,2,0,216,3,0,seven
1,3,2,2,4,5,1,1,227,3,eight
2,1,0,0,0,0,1,0,0,251,nine
