zero,one,two,three,four,five,six,seven,eight,nine, 
205,3,4,5,5,0,1,1,4,1,zero
1,262,0,2,1,0,4,6,2,1,one
4,0,227,8,1,2,4,0,0,0,two
5,0,8,221,0,2,2,2,2,2,three
1,1,0,0,266,1,0,0,1,0,four
1,0,1,12,2,227,0,0,0,0,five
2,4,1,0,1,0,241,0,0,2,six
3,5,0,4,0,2,0,216,4,0,seven
2,2,2,2,4,4,1,1,226,5,eight
4,1,0,0,0,0,1,0,0,249,nine
