zero,one,two,three,four,five,six,seven,eight,nine, 
205,4,0,4,5,0,2,5,3,1,zero
1,261,0,1,2,0,4,8,1,1,one
5,2,225,8,1,1,4,0,0,0,two
5,1,9,219,1,2,2,2,2,1,three
5,1,0,1,263,0,0,0,0,0,four
0,0,5,12,3,223,0,0,0,0,five
4,5,2,0,0,0,236,1,0,3,six
7,8,1,2,2,4,1,208,1,0,seven
1,3,3,1,3,6,0,1,228,3,eight
2,1,1,1,0,1,1,0,1,247,nine
