zero,one,two,three,four,five,six,seven,eight,nine, 
192,8,1,8,7,0,3,5,4,1,zero
5,249,1,2,2,1,3,11,2,3,one
8,2,218,10,2,2,3,0,1,0,two
8,2,10,210,0,5,2,1,4,2,three
7,0,0,1,262,0,0,0,0,0,four
1,2,5,12,2,218,0,2,1,0,five
5,6,1,0,0,0,232,1,2,4,six
9, ,0,3,1,4,1,204,4,0,seven
7,4,4,1,3,4,0,7,218,1,eight
6,2,2,1,0,1,3,0,0,240,nine
