zero,one,two,three,four,five,six,seven,eight,nine, 
211,1,2,4,3,0,2,1,4,1,zero
1,261,1,3,2,0,4,5,1,1,one
4,0,230,8,1,1,1,0,1,0,two
6,1,5,223,0,1,2,2,2,2,three
1,1,0,1,265,1,0,0,1,0,four
1,0,1,12,2,227,0,0,0,0,five
2,3,0,0,1,0,243,0,0,2,six
3,5,2,2,0,2,0,215,5,0,seven
1,2,0,2,4,5,1,0,230,4,eight
3,1,0,0,0,0,1,0,0,250,nine
