zero,one,two,three,four,five,six,seven,eight,nine, 
117,9,7,9,7,0,9,9,7,7,zero
6,163,2,11,2,2,8,22,1,8,one
8,6,136,14,1,6,5,2,4,2,two
5,2,26,137,4,16,2,1,6,1,three
0,2,0,1,207,3,2,0,0,2,four
3,5,2,12,1,159,3,2,3,1,five
5,7,5,2,1,0,168,3,5,3,six
6,9,3,6,4,5,2,145,6,4,seven
12,4,6,6,3,9,5,7,150,2,eight
0,6,2,4,0,0,4,1,3,189,nine
