zero,one,two,three,four,five,six,seven,eight,nine, 
520,35,50,30,19,6,17,56,40,11,zero
37,481,28,45,14,8,34,109,33,20,one
37,29,554,68,4,8,31,17,35,14,two
41,40,109,509,10,18,13,22,22,18,three
18,1,5,7,735,5,1,3,22,2,four
13,16,31,55,20,614,8,9,20,11,five
42,31,26,13,11,3,597,17,44,30,six
20,43,21,29,19,20,13,557,48,18,seven
36,20,27,21,19,24,49,83,499,23,eight
19,24,8,14,0,5,20,16,18,685,nine
