zero,one,two,three,four,five,six,seven,eight,nine, 
380,28,24,20,17,13,25,20,32,7,zero
29,409,20,43,7,9,14,53,25,21,one
14,16,423,54,6,15,17,15,16,8,two
20,23,54,417,7,33,11,18,22,2,three
10,9,5,4,559,7,2,5,12,0,four
6,7,14,35,9,480,2,9,18,3,five
30,18,25,13,5,2,471,6,23,18,six
24,48,12,24,7,9,8,433,17,2,seven
17,6,23,14,10,23,33,37,414,23,eight
9,30,2,5,1,0,24,5,6,540,nine
