zero,one,two,three,four,five,six,seven,eight,nine, 
263,15,13,7,14,3,19,11,21,5,zero
12,306,10,20,12,7,16,29,9,15,one
12,10,272,25,4,15,9,6,10,7,two
17,15,32,291,9,15,1,17,13,4,three
9,2,3,0,380,1,0,9,5,0,four
8,2,9,20,4,325,0,3,15,0,five
12,19,13,8,3,1,322,2,15,10,six
18,24,10,18,3,7,4,288,21,4,seven
12,12,12,5,5,17,12,17,298,7,eight
6,9,1,8,0,2,3,7,13,366,nine
