zero,one,two,three,four,five,six,seven,eight,nine, 
186,9,10,10,12,4,9,8,19,6,zero
8,176,10,14,2,3,8,13,4,7,one
4,3,225,21,1,10,7,3,6,2,two
9,8,15,220,0,10,8,8,6,4,three
5,0,2,2,248,2,0,2,3,0,four
5,1,4,13,5,227,2,1,11,1,five
9,14,8,3,2,2,223,2,10,5,six
11,28,0,5,6,9,6,193,13,2,seven
11,1,11,4,10,7,8,11,189,9,eight
2,15,3,2,0,2,7,2,4,229,nine
