seoul_LASSO =     [327.6505009729817,325.2070408523383,325.2000041061713,324.7930672087671,329.18669566436756,326.3273183075653,326.530316933281,328.71795091252665]
seoul_linear =    [325.47302795642474,322.87861783815714,323.7153223084711,322.87753494782436,327.1181195369714,324.3322504430006,325.4740157480315,328.10868281157707]
seoul_ridge =     [326.8602894643399,323.7626076836935,323.8041372547534,323.29308485742416,327.485413091256,324.4831450239461,325.4671534729321,327.1974708045466]
seoul_svm_poly2 = [404.09726166791734,365.98615568113064,349.2043506648331,340.5626768747396,336.6105704226947,331.1652459576936,325.1305803205722,324.1432886871676]
seoul_svm_poly3 = [356.41480013490246,330.43064618719677,317.04603833380924,311.1433332357831,309.4465195953053,304.0566558653624,298.1501415821382,297.523952599632]
seoul_svm_poly4 = [329.08182299906,309.48637414434586,299.1593085640697,293.1083678753586,292.10278000815174,287.2193978181659,282.34575988017195,281.3621435375684]
seoul_svm_rbf =   [463.4408873718102,436.42944559704665,417.2898706546485,404.59535206785927,395.1239858799241,387.20002441957763,376.0587503291439,371.21609642476955]
seoul_tree =      [245.515290720567,214.7373006497342,202.54404319946002,208.67926757235676,205.27805339003072,197.67690490253986,185.01614173228347,180.0986414648553]

seoul_LASSO = [327.6505009729817,325.2070408523383,325.2000041061713,324.7930672087671,329.18669566436756,326.3273183075653,326.530316933281,328.71795091252665]
seoul_linear = [325.47302795642474,322.87861783815714,323.7153223084711,322.87753494782436,327.1181195369714,324.3322504430006,325.4740157480315,328.10868281157707]
seoul_ridge = [326.8602894643399,323.7626076836935,323.8041372547534,323.29308485742416,327.485413091256,324.4831450239461,325.4671534729321,327.1974708045466]
seoul_svm_poly2 = [404.09726166791734,365.98615568113064,349.2043506648331,340.5626768747396,336.6105704226947,331.1652459576936,325.1305803205722,324.1432886871676]
seoul_svm_poly3 = [356.41480013490246,330.43064618719677,317.04603833380924,311.1433332357831,309.4465195953053,304.0566558653624,298.1501415821382,297.523952599632]
seoul_svm_poly4 = [329.08182299906,309.48637414434586,299.1593085640697,293.1083678753586,292.10278000815174,287.2193978181659,282.34575988017195,281.3621435375684]
seoul_svm_rbf = [463.4408873718102,436.42944559704665,417.2898706546485,404.59535206785927,395.1239858799241,387.20002441957763,376.0587503291439,371.21609642476955]
seoul_tree = [245.515290720567,214.7373006497342,202.54404319946002,208.67926757235676,205.27805339003072,197.67690490253986,185.01614173228347,180.0986414648553]

1
LASSO,327.6505009729817
linear,325.47302795642474
ridge,326.8602894643399
svm_poly2,404.09726166791734
svm_poly3,356.41480013490246
svm_poly4,329.08182299906
svm_rbf,463.4408873718102
tree,245.515290720567
2
LASSO,325.2070408523383
linear,322.87861783815714
ridge,323.7626076836935
svm_poly2,365.98615568113064
svm_poly3,330.43064618719677
svm_poly4,309.48637414434586
svm_rbf,436.42944559704665
tree,214.7373006497342
3
LASSO,325.2000041061713
linear,323.7153223084711
ridge,323.8041372547534
svm_poly2,349.2043506648331
svm_poly3,317.04603833380924
svm_poly4,299.1593085640697
svm_rbf,417.2898706546485
tree,202.54404319946002
4
LASSO,324.7930672087671
linear,322.87753494782436
ridge,323.29308485742416
svm_poly2,340.5626768747396
svm_poly3,311.1433332357831
svm_poly4,293.1083678753586
svm_rbf,404.59535206785927
tree,208.67926757235676
5
LASSO,329.18669566436756
linear,327.1181195369714
ridge,327.485413091256
svm_poly2,336.6105704226947
svm_poly3,309.4465195953053
svm_poly4,292.10278000815174
svm_rbf,395.1239858799241
tree,205.27805339003072
6
LASSO,326.3273183075653
linear,324.3322504430006
ridge,324.4831450239461
svm_poly2,331.1652459576936
svm_poly3,304.0566558653624
svm_poly4,287.2193978181659
svm_rbf,387.20002441957763
tree,197.67690490253986
7
LASSO,326.530316933281
linear,325.4740157480315
ridge,325.4671534729321
svm_poly2,325.1305803205722
svm_poly3,298.1501415821382
svm_poly4,282.34575988017195
svm_rbf,376.0587503291439
tree,185.01614173228347
8
LASSO,328.71795091252665
linear,328.10868281157707
ridge,327.1974708045466
svm_poly2,324.1432886871676
svm_poly3,297.523952599632
svm_poly4,281.3621435375684
svm_rbf,371.21609642476955
tree,180.0986414648553
