Model,MAE
LASSO,327.6505009729817
linear,325.47302795642474
ridge,326.8602894643399
svm_poly2,404.09726166791734
svm_poly3,356.41480013490246
svm_poly4,329.08182299906
svm_rbf,463.4408873718102
tree,245.515290720567
