Model,MAE
LASSO,52.54141163417123
linear,53.342103798229914
ridge,52.810787928585256
svm_poly2,48.33153705750682
svm_poly3,47.97936627901495
svm_poly4,47.67450643972401
svm_rbf,48.46258615024739
tree,42.35508715038508
