Model,MAE
LASSO,57.15241714744077
linear,53.31707726421509
ridge,52.661192805439036
svm_poly2,43.36691593913173
svm_poly3,42.03842625046327
svm_poly4,40.50432802168864
svm_rbf,44.078730350440885
tree,42.18078638021889
