Model,MAE
LASSO,0.676672078169005
linear,0.5703499247452086
ridge,0.572254146442195
svm_poly2,0.6340212218276451
svm_poly3,0.6354689492716892
svm_poly4,0.6375892798974439
svm_rbf,0.6195155268470797
tree,0.4929230769230769
