Model,MAE
LASSO,19.498443732815485
linear,24.58756545310995
ridge,22.556643205216883
svm_poly2,13.407411037437958
svm_poly3,13.53777819278385
svm_poly4,13.596286341756604
svm_rbf,13.396605760216906
tree,23.197615384615382
