Model,MAE
LASSO,315.7397043782743
linear,316.03804551365874
ridge,316.0254403574062
svm_poly2,482.20636528515774
svm_poly3,482.84612494316156
svm_poly4,482.2598553647838
svm_rbf,480.63746392079446
tree,192.75247992442135
