Model,MAE
LASSO,316.74112120072795
linear,315.9508738781294
ridge,315.8999703924455
svm_poly2,309.43937610958915
svm_poly3,286.51482939576556
svm_poly4,274.272295906896
svm_rbf,358.129431981805
tree,193.13604156825696
