Model,MAE
LASSO,104.36015291715172
linear,104.49671306215122
ridge,104.48993978050855
svm_poly2,135.93523825712003
svm_poly3,135.90357669606877
svm_poly4,135.87005695486553
svm_rbf,135.9369253576075
tree,34.630379746835445
