Model,MAE
LASSO,21.681511956905393
linear,24.587565453109907
ridge,23.451423006601193
svm_poly2,13.37690564728474
svm_poly3,13.387375934375825
svm_poly4,13.403418710635787
svm_rbf,13.377729550004885
tree,23.197615384615382
