Model,MAE
LASSO,104.3761696625935
linear,104.4175489067894
ridge,104.4904768595071
svm_poly2,99.66608111337642
svm_poly3,97.47600870736656
svm_poly4,96.39177681363515
svm_rbf,106.39491796923814
tree,34.689067894131185
