zero,one,two,three,four,five,six,seven,eight,nine
267,0,3,1,0,2,1,0,1,2,zero
0,308,2,2,4,0,2,1,4,1,one
0,2,276,1,0,1,0,1,1,0,two
0,0,5,287,0,6,0,0,9,1,three
0,0,3,0,241,0,1,2,4,9,four
2,0,1,8,1,280,1,0,7,0,five
1,0,0,1,1,5,308,0,0,1,six
0,0,9,4,2,1,0,291,1,8,seven
0,1,1,5,0,3,0,0,266,2,eight
2,1,2,1,13,2,0,8,11,298,nine
