zero,one,two,three,four,five,six,seven,eight,nine
26,0,1,1,0,0,2,0,1,0,zero
5,31,13,8,6,15,5,2,13,2,one
0,0,12,0,0,0,0,0,0,0,two
0,0,0,18,0,4,0,0,2,1,three
0,0,0,2,17,1,1,0,0,6,four
1,0,1,0,0,11,0,0,1,0,five
0,0,1,0,1,0,21,0,0,0,six
0,0,1,1,1,0,0,27,1,8,seven
0,0,0,0,0,0,0,0,6,0,eight
0,0,0,1,2,0,0,5,2,13,nine
