zero,one,two,three,four,five,six,seven,eight,nine
30,0,0,0,0,0,0,0,0,0,zero
0,31,2,0,0,2,0,0,3,0,one
0,0,25,1,0,0,0,0,1,0,two
0,0,0,24,0,3,0,1,3,0,three
0,0,0,0,23,2,0,1,0,4,four
1,0,0,4,0,21,0,0,1,0,five
0,0,0,0,1,1,29,0,0,0,six
1,0,1,0,0,0,0,29,0,5,seven
0,0,0,1,0,1,0,1,17,0,eight
0,0,1,1,3,1,0,2,1,21,nine
