Model,MAE
LASSO,57.137004503037076
linear,53.240929309825084
ridge,53.00395533087826
svm_poly2,43.46257294310655
svm_poly3,42.474364777453545
svm_poly4,41.09161594978626
svm_rbf,44.75738398165803
tree,51.599710459645316
