Model,MAE
LASSO,57.13953810937085
linear,53.314833014043636
ridge,53.107187501305006
svm_poly2,44.0803200407964
svm_poly3,43.220082169619374
svm_poly4,42.02153474361314
svm_rbf,45.787070984354976
tree,53.87129465416772
