zero,one,two,three,four,five,six,seven,eight,nine, 
254,2,2,5,2,0,4,2,2,0,zero
2,233,0,2,1,0,2,3,0,2,one
1,0,265,13,2,0,0,0,1,0,two
1,2,4,262,0,7,2,5,3,2,three
2,0,1,0,259,0,0,0,2,0,four
1,0,1,5,3,255,0,1,4,0,five
1,2,2,0,1,0,271,0,0,1,six
4,7,0,3,1,3,0,248,7,0,seven
5,0,5,2,1,3,1,4,238,2,eight
2,1,2,0,0,0,1,0,0,260,nine
